id	name	also_known_as	date_of_birth	date_of_death	places_of_operation	biography	biography_author	date_of_biography	external_links	uuid	source	source_identifier	external_references	date_modified
11448	Justin Seau							2023-05-09T19:58:05.020092+10:00		1d3a8b17-cecb-43c8-8931-264529e0c018	Vernon	3351		2023-06-14T16:33:30.576250+10:00
84797	Fremantle Australia									32f08829-1b37-48fb-bf0d-46c55287308a	Vernon			2023-06-14T16:33:30.576250+10:00
86666	Jim Black							2023-05-09T15:12:01.723952+10:00		1900cdd5-0175-4913-adf2-1f70b843c21c	Vernon	21861		2023-06-14T16:33:30.576250+10:00
35654	Aliceleo							2023-05-09T11:38:35.991945+10:00		8067173a-f344-474e-9b32-25e68aef587e	Vernon	5120		2023-06-14T16:33:30.576250+10:00
75486	Gert Kirschner							2023-05-09T18:00:34.259801+10:00		56079acd-d8ed-4fbb-9e6d-1b88fa748aea	Vernon	37511		2023-06-14T16:33:30.576250+10:00
21264	Jason Films Productions							2023-05-09T19:58:36.438952+10:00		4147cfdc-7292-4fb9-8fd0-c639a83b55b1	Vernon	9565		2023-06-14T16:33:30.576250+10:00
83073	Gerard Blain		1930-10-23	2000-12-17	France	Gérard Blain (23 October 1930 – 17 December 2000) was a French actor and film director.	Wikidata	2022-05-19T11:37:18.200671+10:00	https://en.wikipedia.org/wiki/G%C3%A9rard_Blain	d03e7647-882f-412f-bc8e-4d25e0b590a3	Vernon		(Wikidata,Q710654),(VIAF,46949104),(LOC Auth,no96064187),(WorldCat,lccn-no96064187)	2023-06-14T16:33:30.576250+10:00
77940	David McKnight							2023-05-09T15:16:53.669842+10:00		a32ad608-29e5-4f29-9ada-1266060025b0	Vernon	38866		2023-06-14T16:33:30.576250+10:00
84093	Karl Armstrong							2023-05-09T19:29:50.472058+10:00		1737d427-9f28-4a76-b623-7a72af77397f	Vernon	37206		2023-06-14T16:33:30.576250+10:00
74974	Leonard Peck									717e08c5-dc97-460c-ba38-89a37357bd70	Vernon			2023-06-14T16:33:30.576250+10:00
77300	Telefilms Canada							2023-05-09T14:00:26.291117+10:00		73ba498e-6dad-40b8-8d77-38d5280df0ad	Vernon	13239		2023-06-14T16:33:30.576250+10:00
77504	John Hoskyns-Abrahall							2023-05-09T13:51:07.753106+10:00		b7dc6985-e558-4b5a-8e9e-04f19d106b5c	Vernon	22321		2023-06-14T16:33:30.576250+10:00
83067	Alain Queffelean									2565f15d-4412-49dc-ad63-056938c7b0cd	Vernon			2023-06-14T16:33:30.576250+10:00
75528	Jason Ollivier							2023-05-09T19:10:09.278164+10:00		1088f2a9-0edf-4c64-a50c-b287f4bb5e08	Vernon	21494		2023-06-14T16:33:30.576250+10:00
78701	Lisa Turcot									5e652476-eb55-4f64-a54b-af463399f6bb	Vernon			2023-06-14T16:33:30.576250+10:00
74708	Ross McLean									15858f1f-b1aa-4b86-bc11-c37ce2badce6	Vernon			2023-06-14T16:33:30.576250+10:00
25489	Sarah Legon							2023-05-09T20:01:34.400056+10:00		70b936f1-8940-4809-ab04-2473e526f9d5	Vernon	28581		2023-06-14T16:33:30.576250+10:00
79683	David Ogilvy							2023-05-09T19:38:44.862499+10:00		320df431-90c0-4a4d-a969-ef1369e87be7	Vernon	17741		2023-06-14T16:33:30.576250+10:00
82408	Zeng Wei							2023-05-09T19:20:38.572633+10:00		ae6657ff-a15e-460e-bcce-ef31cf6507cf	Vernon	36746		2023-06-14T16:33:30.576250+10:00
14479	New South Wales. Dept. of Labour and Industry							2023-07-05T03:46:34.299109+10:00		239afb4c-aa1d-42d0-9984-f02d71ad1035	Vernon	11037		2023-07-05T03:46:34.299400+10:00
80288	Harold Warren							2023-05-09T17:05:38.717081+10:00		8e4f9521-84cd-4414-b56f-610aea09a623	Vernon	20287		2023-06-14T16:33:30.576250+10:00
26997	Peter Snell							2023-05-09T13:55:47.451691+10:00		e8124224-2a91-48a5-9e90-cf30f2d0f7e0	Vernon	26721		2023-06-14T16:33:30.576250+10:00
25475	George W. George							2023-05-09T20:05:40.242227+10:00		df91da10-924e-40fe-a929-2d2b99705cb8	Vernon	19689		2023-06-14T16:33:30.576250+10:00
82363	Xia Lan							2023-05-09T18:15:41.374413+10:00		1cd99037-233f-4ff2-87e0-294d12b80ca1	Vernon	36701		2023-06-14T16:33:30.576250+10:00
76636	Vincent Drane							2023-05-09T13:17:45.176232+10:00		0c6fa5fb-9215-4144-8d42-72ba19d81a56	Vernon	3971		2023-06-14T16:33:30.576250+10:00
21438	ITC Entertainment							2023-05-09T19:58:32.958078+10:00		a70f0ab5-b818-4621-87aa-ae1067db2525	Vernon	9479		2023-06-14T16:33:30.576250+10:00
75376	Ian McMillan							2023-05-09T19:06:56.451746+10:00		7f88b30f-0373-4246-9d00-1c08e022f629	Vernon	20779		2023-06-14T16:33:30.576250+10:00
80181	Bobby Newmyer									16971ad6-df76-4677-bdee-c15e4dafee90	Vernon			2023-06-14T16:33:30.576250+10:00
82256	Qiu Zhongyi							2023-05-09T13:03:50.351326+10:00		421c2705-f87e-4c24-8333-5daa59031c47	Vernon	36333		2023-06-14T16:33:30.576250+10:00
34909	Zodiac Enterprises							2023-05-09T20:02:00.817487+10:00		7e087ac9-1643-4336-9caf-c2c5dc36a2e7	Vernon	14568		2023-06-14T16:33:30.576250+10:00
78431	Yoram Mandel									7352ff41-1aa9-4727-bba6-378a51710fc6	Vernon			2023-06-14T16:33:30.576250+10:00
10227	George Whaley							2023-05-09T20:00:33.473882+10:00		027257f6-7d65-4d83-af58-8045a32f2994	Vernon	717		2023-06-14T16:33:30.576250+10:00
30273	Zaga Films							2023-05-09T19:13:35.271887+10:00		0d54d1bc-426d-4731-a1ad-b5c2af136243	Vernon	14521		2023-06-14T16:33:30.576250+10:00
17506	Bill Melendez Productions							2023-05-09T15:06:45.806692+10:00		25a650a9-3cbe-49a8-aeac-af61e02907a1	Vernon	5855		2023-06-14T16:33:30.576250+10:00
80283	Buck Henry	Henry Zuckerman	1930-12-09	2020-01-08	United States of America	"Buck Henry (born Henry Zuckerman; December 9, 1930 – January 8, 2020) was an American actor, writer, comedian, and filmmaker. Henry's contributions to film included his work as a co-director on Heaven Can Wait (1978) alongside Warren Beatty, and his work as a co-writer for Mike Nichols's The Graduate (1967) and Peter Bogdanovich's What's Up, Doc? (1972). His long career began on television with work on shows with Steve Allen in The New Steve Allen Show (1961). He co-created Get Smart (1965–1970) with Mel Brooks, and hosted Saturday Night Live 10 times from 1976 to 1980. He later guest-starred in such popular shows as Murphy Brown, Hot in Cleveland, Will & Grace, and 30 Rock.
He was twice nominated for an Academy Award: for Best Adapted Screenplay for The Graduate (1967) (alongside Calder Willingham) and for Best Director for Heaven Can Wait (1978) (alongside Warren Beatty)."	Wikidata	2022-05-19T11:00:37.250757+10:00	https://en.wikipedia.org/wiki/Buck_Henry	bf8ebf7d-12e4-4eaf-9402-b0c67b31b29e	Vernon		(Wikidata,Q999332),(VIAF,56796406),(LOC Auth,n87150389),(WorldCat,lccn-n87150389)	2023-06-14T16:33:30.576250+10:00
11230	Paramount Pictures							2023-05-09T20:07:10.899952+10:00		b14a600a-0740-4b35-ac2b-00f500982e40	Vernon	3811		2023-06-14T16:33:30.576250+10:00
14769	Phillip Sattin							2023-05-09T18:16:25.246527+10:00		6006f5ca-d528-49f4-bce3-330fa234e5ed	Vernon	26890		2023-06-14T16:33:30.576250+10:00
30068	Nicky Tyndale-Biscoe							2023-05-09T14:24:09.507641+10:00		854e543a-03b3-4369-9aac-7272968437d6	Vernon	25775		2023-06-14T16:33:30.576250+10:00
35489	Pioneer LDCE							2023-05-09T18:06:03.668711+10:00		6112b656-90be-42ef-815d-bcdb2b8235a1	Vernon	11502		2023-06-14T16:33:30.576250+10:00
23794	New Deal Films							2023-05-09T15:08:43.048790+10:00		5a38c363-163d-4e88-896e-026cf0d2fa17	Vernon	10893		2023-06-14T16:33:30.576250+10:00
83038	Pascal Thomas							2023-05-09T15:40:37.423842+10:00		f6a6b660-a43d-4ce5-98df-c967108a273f	Vernon	31076		2023-06-14T16:33:30.576250+10:00
24038	SCF Records							2023-05-09T17:31:16.803175+10:00		4930f22c-68d5-49ac-8560-62dbd2841d72	Vernon	12323		2023-06-14T16:33:30.576250+10:00
25864	Henry Lange							2023-05-09T14:48:39.401108+10:00		20539456-8bba-45c3-81f3-90a64f0ad1fa	Vernon	20496		2023-06-14T16:33:30.576250+10:00
82128	Leonard Bendell							2023-05-09T18:46:32.374498+10:00		ee20e94e-24fb-4be9-9a63-eb01bb43e1b4	Vernon	23712		2023-06-14T16:33:30.576250+10:00
9366	Tom Kenneally							2023-05-09T19:12:03.962490+10:00		55ccc849-7908-4bfa-989a-dd27bbf24519	Vernon	1505		2023-06-14T16:33:30.576250+10:00
86146	Robert Rosmarin							2023-05-09T20:05:41.168067+10:00		c6ffaa58-0abf-4670-a85e-2c77b4dbe70b	Vernon	39563		2023-06-14T16:33:30.576250+10:00
26156	Bricklaying Training School (WA)							2023-05-09T13:09:42.719538+10:00		bceb58c7-72c1-4b3e-9b9a-687e8e26809e	Vernon	5988		2023-06-14T16:33:30.576250+10:00
76749	Lewis MacAdams							2023-05-09T18:17:57.791641+10:00		803c85b2-4797-4f7a-9768-db785485fc75	Vernon	23816		2023-06-14T16:33:30.576250+10:00
79556	Michael S Phillips									8410197b-f9ca-4223-9615-fe96ca33022e	Vernon			2023-06-14T16:33:30.576250+10:00
86762	David Cunliffe									00afaef5-3b35-4d04-8ed4-935d9eebe0e6	Vernon			2023-06-14T16:33:30.576250+10:00
80042	Cindy Cowan				United States of America			2023-05-09T17:39:31.687770+10:00	https://en.wikipedia.org/wiki/Cindy_Cowan	1ad4ce06-c904-464b-87da-ac98de5aa81a	Vernon	17029	(Wikidata,Q5120506)	2023-06-14T16:33:30.576250+10:00
83419	Adrian Bosich									c1d33865-96dd-4f84-9788-736fcd7e114d	Vernon			2023-06-14T16:33:30.576250+10:00
11396	Mario Andrianto							2023-05-09T14:27:11.458168+10:00		aa7a7d34-b916-4100-a512-e663240a7ca7	Vernon	3174		2023-06-14T16:33:30.576250+10:00
25368	Anne Wood							2023-05-09T14:37:34.767992+10:00		744f90d7-571c-462d-b34a-dda01e499b29	Vernon	15353		2023-06-14T16:33:30.576250+10:00
80646	Jamie Selkirk							2023-05-09T19:54:16.192648+10:00		2ba1202b-55f9-402d-90b5-0a5b5a57a37e	Vernon	21354		2023-06-14T16:33:30.576250+10:00
78904	Garry Stewart									75116fa7-7296-4a20-8d94-1ef67e6dcf46	Vernon			2023-06-14T16:33:30.576250+10:00
80978	Kirk Thatcher									c91e0d6b-32dd-4ca7-be3f-d55b9b43275c	Vernon			2023-06-14T16:33:30.576250+10:00
36240	Quinta Communications							2023-05-09T16:49:10.504964+10:00		6bd866be-3181-482f-a75b-fcaef985815a	Vernon	11786		2023-06-14T16:33:30.576250+10:00
77610	Full House							2023-05-09T20:07:09.967885+10:00		672e2182-cdcc-4350-9a4f-b52a10777250	Vernon	30723		2023-06-14T16:33:30.576250+10:00
31086	Palladio Film							2023-05-09T18:12:42.001024+10:00		1725c25d-bc4b-4a9e-9b3c-29f3a5f8c48b	Vernon	11247		2023-06-14T16:33:30.576250+10:00
77889	Hugh Thompson							2023-05-09T14:38:08.690415+10:00		a3695416-f0b2-4375-a96b-c8044a96ad99	Vernon	4429		2023-06-14T16:33:30.576250+10:00
83665	Ayesha Lai							2023-05-09T20:05:49.236607+10:00		b9de8148-c957-4b0c-b207-7e9de1a5da29	Vernon	35084		2023-06-14T16:33:30.576250+10:00
24266	Howard Storm							2023-05-09T18:43:30.680284+10:00		215fd3ae-202f-4560-b31c-78cfcf00c6ce	Vernon	20633		2023-06-14T16:33:30.576250+10:00
37473	John Begley							2023-05-09T19:13:44.784576+10:00		50978b65-09fb-4fbf-b3f9-4f600784a48f	Vernon	22125		2023-06-14T16:33:30.576250+10:00
82397	Lu Yanzhou									a185173a-1d49-499a-b0e9-ba21a7f8f1bc	Vernon			2023-06-14T16:33:30.576250+10:00
22415	Charles Sturridge							2023-05-09T16:25:36.801485+10:00		745e2445-411f-430d-b9db-cc04a31dde60	Vernon	16731		2023-06-14T16:33:30.576250+10:00
35436	Radical Media							2023-05-09T19:52:47.136486+10:00		5276db22-b9d7-4aeb-9ae6-afd942fe3372	Vernon	11820		2023-06-14T16:33:30.576250+10:00
75977	Jean Lafleur							2023-05-09T12:51:16.877817+10:00		b106089f-4bf4-48bb-ac3a-d9b1b7134ebd	Vernon	21541		2023-06-14T16:33:30.576250+10:00
18511	Episcopal Church							2023-05-09T17:57:52.368885+10:00		93c769f4-cfee-4aee-ade8-591e995d9432	Vernon	7932		2023-06-14T16:33:30.576250+10:00
